pid,artist,location,label,medium,size,price,_date,object_type,current_location,description,source,order,layout,collection,thumbnail,full,manifest
obj2,Peter Jemison,online,At The Border,Oil on Canvas,,,1984,painting,Sullivan/Clinton,"Jemison's painting depicts the schism imposed on Indians by nation state borders. Casting blood red shadows, the two crows facing each other symbolize both division and bonds between Canadian and U.S. Iroquois communities. Their separation was partly created by the Sullivan-Clinton Campaign. ",,02,audiovisual_item,audiovisual_item,,,
obj3,Peter Jemison,online,Indians Have Always Paid The Price,Mixed Media on Paper,,,1995,Composite,Sullivan/Clinton,Jemison's mixed-media piece brings together past and present images of the domination of Indians in the Americas. What began with Columbus and continued with Sullivan-Clinton is carried through to today. ,,03,audiovisual_item,audiovisual_item,,,
obj4,Jennifer Warren,online,Three Sisters,Composite of Digital Photo Images,,,2004,Composite,Sullivan/Clinton,"De-o-ha-ko, ""the foods that sustain us."" The 3 Sisters - corn, beans and squash - are the traditional heart of Iroquois survival and worldview. They were the prime targets of the Sullivan-Clinton Campaign.",,04,audiovisual_item,audiovisual_item,,,
obj5,Ousmane Sow,online,La riposte de Piz'i (Chief Gall),"Composite of straw, plastic, soil, and fabric bound by a proprietary weatherproof coating",,,1999,Composite,Sullivan/Clinton," In the courtyard of his house, Ousmane Sow produced The Battle of Little Big Horn, a series of 35 epic pieces. These were first exhibited in Dakar in January of 1999 and later that year in an outdoor Paris exhibition on the Pont des Arts. It featured all of his series of sculptures and was seen by over 3 million visitors. In July-October of 2003, some of these LBH sculptures were shown in New York City at the Whitney Museum, as part of a major exhbition called ""The American Effect."" ",http://www.ousmanesow.com,05,audiovisual_item,audiovisual_item,,,
obj6,Ousmane Sow,online,Indien depouillant un soldat mort,"Composite of straw, plastic, soil, and fabric bound by a proprietary weatherproof coating",,,1999,Composite,Sullivan/Clinton," In the courtyard of his house, Ousmane Sow produced The Battle of Little Big Horn, a series of 35 epic pieces. These were first exhibited in Dakar in January of 1999 and later that year in an outdoor Paris exhibition on the Pont des Arts. It featured all of his series of sculptures and was seen by over 3 million visitors. In July-October of 2003, some of these LBH sculptures were shown in New York City at the Whitney Museum, as part of a major exhbition called ""The American Effect."" ",http://www.ousmanesow.com,06,audiovisual_item,audiovisual_item,,,
obj7,Ousmane Sow,online, La riposte de Piz'i (Chief Gall),"Composite of straw, plastic, soil, and fabric bound by a proprietary weatherproof coating",,,1999,Composite,Sullivan/Clinton,"In the courtyard of his house, Ousmane Sow produced The Battle of Little Big Horn, a series of 35 epic pieces. These were first exhibited in Dakar in January of 1999 and later that year in an outdoor Paris exhibition on the Pont des Arts. It featured all of his series of sculptures and was seen by over 3 million visitors. In July-October of 2003, some of these LBH sculptures were shown in New York City at the Whitney Museum, as part of a major exhbition called ""The American Effect."" ",http://www.ousmanesow.com,07,audiovisual_item,audiovisual_item,,,
obj8,Ousmane Sow,online,Tazsunke Witko (Crazy Horse) est assailli,"Composite of straw, plastic, soil, and fabric bound by a proprietary weatherproof coating",,,1999,Composite,Sullivan/Clinton," In the courtyard of his house, Ousmane Sow produced The Battle of Little Big Horn, a series of 35 epic pieces. These were first exhibited in Dakar in January of 1999 and later that year in an outdoor Paris exhibition on the Pont des Arts. It featured all of his series of sculptures and was seen by over 3 million visitors. In July-October of 2003, some of these LBH sculptures were shown in New York City at the Whitney Museum, as part of a major exhbition called ""The American Effect."" ",http://www.ousmanesow.com,08,audiovisual_item,audiovisual_item,,,
obj9,Ousmane Sow,online, Corps a corps au couteau,"Composite of straw, plastic, soil, and fabric bound by a proprietary weatherproof coating",,,1999,Composite,Sullivan/Clinton,"In the courtyard of his house, Ousmane Sow produced The Battle of Little Big Horn, a series of 35 epic pieces. These were first exhibited in Dakar in January of 1999 and later that year in an outdoor Paris exhibition on the Pont des Arts. It featured all of his series of sculptures and was seen by over 3 million visitors. In July-October of 2003, some of these LBH sculptures were shown in New York City at the Whitney Museum, as part of a major exhbition called ""The American Effect."" ",http://www.ousmanesow.com,09,audiovisual_item,audiovisual_item,,,
obj10,Alan Michelson,online,Indian Time 1,"Acrylic watches, faces printed with Peter Rindisbacher imagery, birch log, logo label",,,1996,Watches,Sullivan/Clinton," An installation consisting of a display of contemporary acrylic watches printed with imagery taken from the work of Swiss pioneer artist Peter Rindisbacher. Their design and production, including the ""Chippewatch"" logo, was the artist's contribution to the 1996 Swiss Institute exhibition Red River Crossings: Contemporary Native American Artists Respond to Peter Rindisbacher (1806-1834).",,10,audiovisual_item,audiovisual_item,,,
obj11,Alan Michelson,online,Indian Time 2,"Acrylic watches, faces printed with Peter Rindisbacher imagery, birch log, logo label",,,1996,Watches,Sullivan/Clinton," An installation consisting of a display of contemporary acrylic watches printed with imagery taken from the work of Swiss pioneer artist Peter Rindisbacher. Their design and production, including the ""Chippewatch"" logo, was the artist's contribution to the 1996 Swiss Institute exhibition Red River Crossings: Contemporary Native American Artists Respond to Peter Rindisbacher (1806-1834).",,11,audiovisual_item,audiovisual_item,,,
